ServerName;DatabaseName;SQLServerVersion;QueryExecutedAt
----------;------------;----------------;---------------
AOVIA2VMS006;AlplaPROD_aovia2;Microsoft SQL Server 2022 (RTM) - 16.0.1000.6 (X64) 
	Oct  8 2022 05:58:25 
	Copyright (C) 2022 Microsoft Corporation
	Standard Edition (64-bit) on Windows Server 2022 Standard 10.0 <X64> (Build 20348: ) (Hypervisor)
;5/29/2026 11:11:50 PM

(1 rows affected)

SchemaName;SchemaId
----------;--------
AlplaAPP;5
AlplaREPORTBUDGET;6
db_accessadmin;16385
db_backupoperator;16389
db_datareader;16390
db_datawriter;16391
db_ddladmin;16387
db_denydatareader;16392
db_denydatawriter;16393
db_owner;16384
db_securityadmin;16386
dbo;1

(12 rows affected)

SchemaName;TableName;ApproxRowCount;CreatedDate;LastModifiedDate
dbo;T_EDIUpload;1647;9/27/2018 2:19:59 PM;5/20/2026 8:33:16 AM
dbo;T_EingesetzteRessourcen;0;9/27/2018 2:20:00 PM;5/20/2026 8:33:17 AM
dbo;T_EinkaufsPreise;0;9/27/2018 2:20:01 PM;5/20/2026 8:33:17 AM
dbo;T_EntladeAuftraege;0;9/27/2018 2:20:01 PM;5/20/2026 8:33:17 AM
dbo;T_EntladePlanungen;0;9/27/2018 2:20:00 PM;5/20/2026 8:33:17 AM
dbo;T_EntladePositionen;0;9/27/2018 2:20:00 PM;5/20/2026 8:33:17 AM
dbo;T_EtikettenDefault;69;9/27/2018 2:20:03 PM;5/20/2026 8:33:17 AM
dbo;T_EtikettenDrucker;6;9/27/2018 2:20:00 PM;5/20/2026 8:33:17 AM
dbo;T_EtikettenDruckJobs;0;9/27/2018 2:20:01 PM;5/20/2026 8:33:17 AM
dbo;T_EtikettenDruckJobsSystem;0;9/27/2018 2:20:03 PM;5/20/2026 8:33:17 AM
dbo;T_EtikettenDummy;12;9/27/2018 2:20:01 PM;5/20/2026 8:33:17 AM
dbo;T_EtikettenGedruckt;138324;9/27/2018 2:19:59 PM;5/20/2026 8:33:17 AM
dbo;T_EtikettenGemappt;10569;9/27/2018 2:20:00 PM;5/20/2026 8:33:17 AM
dbo;T_EtikettenHistorie;148906;11/12/2025 8:33:00 AM;5/20/2026 8:33:17 AM
dbo;T_EtikettenLayouts;16;9/27/2018 2:19:59 PM;5/20/2026 8:33:17 AM
dbo;T_EtikettenLog;0;9/27/2018 2:20:01 PM;5/20/2026 8:33:17 AM
dbo;T_EtikettenPalettenKartons;84872;9/27/2018 2:19:59 PM;5/20/2026 8:33:17 AM
dbo;T_EtikettenSperrgruende;1;9/27/2018 2:20:00 PM;5/20/2026 8:33:17 AM
dbo;T_EtikettenVerworfen;0;9/27/2018 2:20:00 PM;5/20/2026 8:33:17 AM
dbo;T_ExportInventurAbweichungen;0;9/27/2018 2:20:03 PM;5/20/2026 8:33:17 AM
dbo;T_ExportLagerBestand;0;9/27/2018 2:20:03 PM;5/20/2026 8:33:17 AM
dbo;T_ExportLagerDauer;0;9/27/2018 2:20:03 PM;5/20/2026 8:33:17 AM
