TableName;ApproxRowCount;CreatedDate;ColumnCount
T_EtikettenLog;IdProdBereich;4;int;;10;YES
T_EtikettenLog;DatumZeit;5;datetime;;;YES
T_EtikettenLog;lfdZahl;6;int;;10;YES
T_EtikettenLog;IdMaschine;7;int;;10;YES
T_EtikettenLog;AuftragsNr;8;nvarchar;50;;YES
T_EtikettenLog;ScanStatus;9;int;;10;YES
T_EtikettenLog;TabellenNr;10;int;;10;NO
T_FuellLosHistorie;IdFuellLosHistorie;1;int;;10;NO
T_FuellLosHistorie;IdFuellLos;2;int;;10;NO
T_FuellLosHistorie;KdArtikelNr;3;nvarchar;50;;YES
T_FuellLosHistorie;IdArtikelVariante;4;int;;10;NO
T_FuellLosHistorie;IdAdresse;5;int;;10;NO
T_FuellLosHistorie;StartZeit;6;datetime;;;NO
T_FuellLosHistorie;StartZeit_alt;7;datetime;;;NO
T_FuellLosHistorie;EndeZeit;8;datetime;;;NO
T_FuellLosHistorie;EndeZeit_alt;9;datetime;;;NO
T_FuellLosHistorie;IdFuellLinie;10;int;;10;NO
T_FuellLosHistorie;IdFuellLinie_alt;11;int;;10;NO
T_FuellLosHistorie;Menge;12;float;;53;NO
T_FuellLosHistorie;Menge_alt;13;float;;53;NO
T_FuellLosHistorie;FuellLosNr;14;nvarchar;50;;YES
T_FuellLosHistorie;Status;15;int;;10;NO
T_FuellLosHistorie;Status_alt;16;int;;10;NO
T_FuellLosHistorie;ImportDatum;17;datetime;;;NO
T_FuellLosHistorie;Add_User;18;nvarchar;50;;NO
T_FuellLosHistorie;Add_Date;19;datetime;;;NO
T_FuellLosHistorie;Upd_User;20;nvarchar;50;;YES
T_FuellLosHistorie;Upd_Date;21;datetime;;;YES
T_FuellLosHistorie;Beschreibung;22;nvarchar;50;;YES
T_HistorieProtokoll;IdHistorieProtokoll;1;int;;10;NO
T_HistorieProtokoll;Kanal;2;int;;10;YES
T_HistorieProtokoll;Name;3;char;50;;YES
T_HistorieProtokoll;Datum;4;datetime;;;YES
T_HistorieProtokoll;Result;5;int;;10;YES
T_HistorieProtokoll;Add_User;6;nvarchar;50;;NO
T_HistorieProtokoll;Add_Date;7;datetime;;;NO
T_HistorieProtokoll;Upd_User;8;nvarchar;50;;YES
T_HistorieProtokoll;Upd_Date;9;datetime;;;YES
T_HistoryEK;IdHistoryEK;1;int;;10;NO
T_HistoryEK;IdArtikelvarianten;2;int;;10;NO
T_HistoryEK;IdAdressen;3;int;;10;YES
T_HistoryEK;GueltigabDatum;4;datetime;;;NO
T_HistoryEK;EKPreis;5;float;;53;NO
T_HistoryEK;Bemerkung;6;nvarchar;255;;YES
T_HistoryEK;Add_User;7;nvarchar;50;;YES
T_HistoryEK;Add_Date;8;datetime;;;YES
T_HistoryEK;Upd_User;9;nvarchar;50;;YES
T_HistoryEK;Upd_Date;10;datetime;;;YES
T_HistoryEK;TabellenNr;11;int;;10;NO
T_HistoryEK;StandardLieferant;12;bit;;;NO
T_HistoryEK;AnzStkJeTransporteinheit;13;float;;53;YES
T_HistoryEK;IdVpkVorschrift;14;int;;10;YES
T_HistoryEK;LiefArtNr;15;nvarchar;100;;YES
T_HistoryEK;LiefArtBez;16;nvarchar;100;;YES
T_HistoryEK;FWEKPreis;17;float;;53;YES
T_HistoryEK;KursFW;18;float;;53;YES
T_HistoryEK;KursDatum;19;datetime;;;YES
