TableName;ApproxRowCount;CreatedDate;ColumnCount
---------;--------------;-----------;-----------
syncobj_0x4344354645424237;EdiImportPlausiKategorie;int;;YES
syncobj_0x4344354645424237;EdiImportPlausi;int;;YES
syncobj_0x4344354645424237;IdEdiDokument;int;;YES
syncobj_0x4346353234463234;EditMengeVPK;float;;NO
syncobj_0x4346353234463234;EditMenge;float;;NO
syncobj_0x4346353234463234;EditGesperrteMenge;float;;YES
syncobj_0x4346353234463234;EditGesperrteMengeVPK;float;;YES
syncobj_0x4433373135344132;IdSpediteur;int;;YES
syncobj_0x4436353437463638;EditMengeVPK;float;;NO
syncobj_0x4436353437463638;EditMenge;float;;NO
syncobj_0x4436353437463638;EditGesperrteMenge;float;;YES
syncobj_0x4436353437463638;EditGesperrteMengeVPK;float;;YES
syncobj_0x4436414337343936;IdEDIDokumentPosition;int;;YES
syncobj_0x4438333341313744;IdSpediteur;int;;YES
syncobj_0x4438333341313744;SpediteurBez;nvarchar;100;YES
syncobj_0x4438373443464131;IdEDIDifferenz;int;;NO
syncobj_0x4445393338324238;IdEDIDokumentPosition;int;;YES
syncobj_0x4445393338324238;EdiImportStatus;int;;YES
syncobj_0x4445393338324238;EdiImportPlausiKategorie;int;;YES
syncobj_0x4445393338324238;EdiImportPlausi;int;;YES
syncobj_0x4445393338324238;EdiAbrufMenge;float;;YES
syncobj_0x4445393338324238;EdiAbrufMengeVPK;float;;YES
syncobj_0x4445393338324238;EdiAbrufLiefertermin;datetime;;YES
syncobj_0x4445393338324238;EdiImportAkzeptanz;int;;YES
syncobj_0x4445393338324238;EdiIdVpkVorschrift;int;;YES
syncobj_0x4532434239344142;IdSpediteur;int;;NO
syncobj_0x4537373944324443;EditMengeVPK;float;;NO
syncobj_0x4537373944324443;EditMenge;float;;NO
syncobj_0x4537373944324443;EditGesperrteMenge;float;;YES
syncobj_0x4537373944324443;EditGesperrteMengeVPK;float;;YES
syncobj_0x4542364439423141;IdEDIKonfiguration;int;;NO
syncobj_0x4542364439423141;EDITyp;int;;NO
syncobj_0x4542364439423141;EDIRichtung;int;;NO
syncobj_0x4543423231444337;IdSpediteur;int;;YES
syncobj_0x4543423231444337;SpediteurBez;nvarchar;100;YES
syncobj_0x4631324238464332;IdEDIDokumentPosition;int;;NO
syncobj_0x4631324238464332;IdEDIDokument;int;;NO
syncobj_0x4636323646353931;IdEDIKonfiguration;int;;NO
syncobj_0x4636323646353931;EDITyp;int;;NO
syncobj_0x4636323646353931;EDIRichtung;int;;NO
syspublications;immediate_sync;bit;;NO
syspublications;immediate_sync_ready;bit;;NO
T_Auftraege;EdiImportStatus;int;;YES
T_Auftraege;EdiImportPlausiKategorie;int;;YES
T_Auftraege;EdiImportPlausi;int;;YES
T_Auftraege;IdEdiDokument;int;;YES
T_AuftragsAbrufe;IdEDIDokumentPosition;int;;YES
T_AuftragsAbrufe;EdiImportStatus;int;;YES
T_AuftragsAbrufe;EdiImportPlausiKategorie;int;;YES
T_AuftragsAbrufe;EdiImportPlausi;int;;YES
T_AuftragsAbrufe;EdiAbrufMenge;float;;YES
T_AuftragsAbrufe;EdiAbrufMengeVPK;float;;YES
T_AuftragsAbrufe;EdiAbrufLiefertermin;datetime;;YES
T_AuftragsAbrufe;EdiAbrufLadeDatum;datetime;;YES
T_AuftragsAbrufe;EdiAbrufDatum;datetime;;YES
T_AuftragsAbrufe;EdiIdVpkVorschrift;int;;YES
T_AuftragsPositionen;EdiImportStatus;int;;YES
