ServerName;DatabaseName;SQLServerVersion;QueryExecutedAt
----------;------------;----------------;---------------
AOVIA1VMS006;AlplaPROD_aovia3;Microsoft SQL Server 2022 (RTM-CU24) (KB5080999) - 16.0.4245.2 (X64) 
	Feb 25 2026 15:01:38 
	Copyright (C) 2022 Microsoft Corporation
	Standard Edition (64-bit) on Windows Server 2022 Standard 10.0 <X64> (Build 20348: ) (Hypervisor)
;2026-05-29 21:29:45.447

(1 rows affected)
SchemaName;SchemaId
----------;--------
AlplaAPP;5
AlplaREPORTBUDGET;6
db_accessadmin;16385
db_backupoperator;16389
db_datareader;16390
db_datawriter;16391
db_ddladmin;16387
db_denydatareader;16392
db_denydatawriter;16393
db_owner;16384
db_securityadmin;16386
dbo;1

(12 rows affected)
SchemaName;TableName;ApproxRowCount;CreatedDate;LastModifiedDate
dbo;T_BlockingOrders_Positions;0;2023-09-14 17:03:50.800;2026-05-20 12:09:05.777
dbo;T_BlockingOrdersAdditionalDefects;0;2023-09-14 17:03:53.887;2026-05-20 12:09:05.760
dbo;T_BuchungsGruende;25;2023-09-14 17:03:49.133;2026-05-20 12:09:05.807
dbo;T_BudgetAbsatzplan;90;2023-09-14 17:03:49.540;2026-05-20 12:09:05.883
dbo;T_BudgetAbsatzplanDetails;459;2023-09-14 17:03:54.853;2026-05-20 12:09:05.893
dbo;T_BudgetBlaskopf;0;2023-09-14 17:03:54.860;2026-05-20 12:09:05.937
dbo;T_BudgetEinstellungen;5;2023-09-14 17:03:54.867;2026-05-20 12:09:05.940
dbo;T_BudgetMaschinentypen;12;2023-09-14 17:03:49.533;2026-05-20 12:09:05.943
dbo;T_CoexPos;0;2023-09-14 17:03:49.897;2026-05-20 12:09:05.983
dbo;T_CoexSchichten;0;2023-09-14 17:03:49.890;2026-05-20 12:09:06.007
dbo;T_ComplaintPositions;38;2023-09-14 17:03:51.613;2026-05-20 12:09:06.067
dbo;T_EAIFakturaLeistungen;0;2023-09-14 17:03:54.873;2026-05-20 12:09:06.070
dbo;T_EAIFakturaPositionen;0;2023-09-14 17:03:54.880;2026-05-20 12:09:06.317
dbo;T_EAIJournal;6577;2023-09-14 17:03:51.157;2026-05-20 12:09:06.477
dbo;T_EAIJournalAdresse;26308;2023-09-14 17:03:51.257;2026-05-20 12:09:06.503
dbo;T_EAIJournalAmo;0;2023-09-14 17:03:54.887;2026-05-20 12:09:06.297
dbo;T_EAIJournalBeleg;0;2023-09-14 17:03:54.893;2026-05-20 12:09:06.287
dbo;T_EAIJournalBestellPosition;2929;2023-09-14 17:03:51.527;2026-05-20 12:09:06.640
