TableName;ApproxRowCount;ColumnCount
---------;--------------;-----------
T_AuftragsAbrufe;IdAuftragsBest;32;int;NULL;10;0;YES
T_AuftragsAbrufe;PreisProEinheit;33;float;NULL;53;NULL;YES
T_AuftragsAbrufe;Typ;34;int;NULL;10;0;YES
T_AuftragsAbrufe;KdArtNr;35;nvarchar;100;NULL;NULL;YES
T_AuftragsAbrufe;KdArtBez;36;nvarchar;100;NULL;NULL;YES
T_AuftragsAbrufe;IdLieferkondition;37;int;NULL;10;0;YES
T_AuftragsAbrufe;LieferkonditionBez;38;nvarchar;250;NULL;NULL;YES
T_AuftragsAbrufe;IdZahlKond;39;int;NULL;10;0;YES
T_AuftragsAbrufe;IdAuftragsBestText;40;int;NULL;10;0;YES
T_AuftragsAbrufe;AuftragsBestText;41;nvarchar;1024;NULL;NULL;YES
T_AuftragsAbrufe;IdLieferscheinText;42;int;NULL;10;0;YES
T_AuftragsAbrufe;LieferscheinText;43;nvarchar;1024;NULL;NULL;YES
T_AuftragsAbrufe;IdRechnungText;44;int;NULL;10;0;YES
T_AuftragsAbrufe;RechnungText;45;nvarchar;1024;NULL;NULL;YES
T_AuftragsAbrufe;Guid;46;uniqueidentifier;NULL;NULL;NULL;YES
T_AuftragsAbrufe;PlanStatus;47;int;NULL;10;0;YES
T_AuftragsAbrufe;AbrufLadeDatum;48;datetime;NULL;NULL;NULL;YES
T_AuftragsAbrufe;ZusatzInfo5;49;nvarchar;50;NULL;NULL;YES
T_AuftragsAbrufe;ZusatzInfo6;50;nvarchar;50;NULL;NULL;YES
T_AuftragsAbrufe;IdEDIDokumentPosition;51;int;NULL;10;0;YES
T_AuftragsAbrufe;Importiert;52;int;NULL;10;0;YES
T_AuftragsAbrufe;EdiImportStatus;53;int;NULL;10;0;YES
T_AuftragsAbrufe;EdiImportPlausiKategorie;54;int;NULL;10;0;YES
T_AuftragsAbrufe;EdiImportPlausi;55;int;NULL;10;0;YES
T_AuftragsAbrufe;EdiAbrufMenge;56;float;NULL;53;NULL;YES
T_AuftragsAbrufe;EdiAbrufMengeVPK;57;float;NULL;53;NULL;YES
T_AuftragsAbrufe;EdiAbrufLiefertermin;58;datetime;NULL;NULL;NULL;YES
T_AuftragsAbrufe;EdiAbrufLadeDatum;59;datetime;NULL;NULL;NULL;YES
T_AuftragsAbrufe;EdiAbrufDatum;60;datetime;NULL;NULL;NULL;YES
T_AuftragsAbrufe;PreisBemerkung;61;nvarchar;255;NULL;NULL;YES
T_AuftragsAbrufe;MinimumProzentLieferMenge;62;float;NULL;53;NULL;YES
T_AuftragsAbrufe;EdiIdVpkVorschrift;63;int;NULL;10;0;YES
T_AuftragsAbrufe;Bestrahlt;64;int;NULL;10;0;YES
T_AuftragsAbrufeHistorie;IdAuftragsAbrufeHistorie;1;int;NULL;10;0;NO
T_AuftragsAbrufeHistorie;IdAuftragsAbruf;2;int;NULL;10;0;YES
T_AuftragsAbrufeHistorie;IdAuftragsPosition;3;int;NULL;10;0;YES
T_AuftragsAbrufeHistorie;IdAuftrag;4;int;NULL;10;0;YES
T_AuftragsAbrufeHistorie;IdProduktionsArtikel;5;int;NULL;10;0;YES
T_AuftragsAbrufeHistorie;IdArtikelVariante;6;int;NULL;10;0;YES
T_AuftragsAbrufeHistorie;IdKundenAdresse;7;int;NULL;10;0;YES
T_AuftragsAbrufeHistorie;IdLieferAdresse;8;int;NULL;10;0;YES
T_AuftragsAbrufeHistorie;IdRechnungsAdresse;9;int;NULL;10;0;YES
T_AuftragsAbrufeHistorie;IdVpkVorschrift;10;int;NULL;10;0;YES
T_AuftragsAbrufeHistorie;IdHauptmaterial;11;int;NULL;10;0;YES
T_AuftragsAbrufeHistorie;IdProdAuftrag;12;int;NULL;10;0;YES
T_AuftragsAbrufeHistorie;AbrufNummer;13;nvarchar;50;NULL;NULL;YES
T_AuftragsAbrufeHistorie;AbrufDatum;14;datetime;NULL;NULL;NULL;YES
T_AuftragsAbrufeHistorie;AbrufMenge;15;float;NULL;53;NULL;YES
T_AuftragsAbrufeHistorie;AbrufMengeVPK;16;float;NULL;53;NULL;YES
T_AuftragsAbrufeHistorie;AbrufLiefertermin;17;datetime;NULL;NULL;NULL;YES
T_AuftragsAbrufeHistorie;AbrufAbdeckung;18;float;NULL;53;NULL;YES
T_AuftragsAbrufeHistorie;AbrufStatus;19;int;NULL;10;0;YES
T_AuftragsAbrufeHistorie;AbrufLieferStatus;20;int;NULL;10;0;YES
T_AuftragsAbrufeHistorie;AbrufBemerkung;21;nvarchar;250;NULL;NULL;YES
T_AuftragsAbrufeHistorie;GeplanteMenge;22;float;NULL;53;NULL;YES
T_AuftragsAbrufeHistorie;GeplanteMengeVPK;23;float;NULL;53;NULL;YES
T_AuftragsAbrufeHistorie;GelieferteMenge;24;float;NULL;53;NULL;YES
