TABLE_SCHEMA;TABLE_NAME;COLUMN_NAME;DATA_TYPE;CHARACTER_MAXIMUM_LENGTH;IS_NULLABLE;ORDINAL_POSITION
dbo;syncobj_0x4530413532423730;BestellNr;nvarchar;50;NO;9
dbo;syncobj_0x4634344137423339;IdBestellvorschlag;int;NULL;NO;1
dbo;syncobj_0x4634344137423339;IdBestellung;int;NULL;YES;2
dbo;syncobj_0x4634344137423339;BestellDatum;datetime;NULL;NO;5
dbo;syncobj_0x4634344137423339;BestellMenge;float;NULL;NO;7
dbo;syncobj_0x4634344137423339;BestellMengeVPK;float;NULL;NO;8
dbo;syncobj_0x4634344137423339;Bestellt;int;NULL;NO;19
dbo;syncobj_0x4634344137423339;IdRahmenbestellungPosition;int;NULL;NO;22
dbo;syncobj_0x4636374246324545;BestellMenge;float;NULL;YES;12
dbo;syncobj_0x4636374246324545;BestellMengeVPK;float;NULL;YES;13
dbo;syncobj_0x4636374246324545;IdVpkVorschriftBestellt;int;NULL;YES;40
dbo;syncobj_0x4636374246324545;VpkVorschriftBestelltBez;nvarchar;100;YES;41
dbo;syncobj_0x4636374246324545;IdHauptmaterialBestellt;int;NULL;YES;56
dbo;syncobj_0x4636374246324545;HauptmaterialBestelltBez;nvarchar;50;YES;57
dbo;syncobj_0x4636374246324545;AnzahlAVProVpkBestellt;int;NULL;YES;83
dbo;syncobj_0x4636374246324545;AnzahlAVProHEBestellt;int;NULL;YES;84
dbo;syncobj_0x4636374246324545;IdTransportEinheitBestellt;int;NULL;YES;85
dbo;syncobj_0x4636374246324545;TransportEinheitBestelltBez;nvarchar;100;YES;86
dbo;syncobj_0x4636374246324545;IdHandelsEinheitBestellt;int;NULL;YES;87
dbo;syncobj_0x4636374246324545;HandelsEinheitBestelltBez;nvarchar;100;YES;88
dbo;syncobj_0x4636374246324545;BestellMengeTE;int;NULL;YES;89
dbo;syncobj_0x4636374246324545;BestellMengeHE;int;NULL;YES;90
dbo;syncobj_0x4636374246324545;TransportEinheitBestelltTyp;int;NULL;YES;94
dbo;syncobj_0x4636374246324545;HandelsEinheitBestelltTyp;int;NULL;YES;95
dbo;syncobj_0x4636423339393945;IdBestellPosition;int;NULL;NO;1
dbo;syncobj_0x4636423339393945;IdBestellung;int;NULL;YES;2
dbo;syncobj_0x4636423339393945;BestellDatum;datetime;NULL;NO;5
dbo;syncobj_0x4636423339393945;BestellMenge;float;NULL;NO;7
dbo;syncobj_0x4636423339393945;BestellMengeVPK;float;NULL;NO;8
dbo;syncobj_0x4636423339393945;IdRahmenbestellungPosition;int;NULL;NO;18
dbo;syncobj_0x4636423339393945;IdJournalBestellPosition;int;NULL;NO;19
dbo;syncobj_0x4637463431324342;Bestellnummer;nvarchar;50;YES;21
dbo;syncobj_0x4638463232334345;BestellMenge;float;NULL;YES;12
dbo;syncobj_0x4638463232334345;BestellMengeVPK;float;NULL;YES;13
dbo;syncobj_0x4638463232334345;IdVpkVorschriftBestellt;int;NULL;YES;40
dbo;syncobj_0x4638463232334345;VpkVorschriftBestelltBez;nvarchar;100;YES;41
dbo;syncobj_0x4638463232334345;IdHauptmaterialBestellt;int;NULL;YES;56
dbo;syncobj_0x4638463232334345;HauptmaterialBestelltBez;nvarchar;50;YES;57
dbo;syncobj_0x4638463232334345;AnzahlAVProVpkBestellt;int;NULL;YES;83
dbo;syncobj_0x4638463232334345;AnzahlAVProHEBestellt;int;NULL;YES;84
dbo;syncobj_0x4638463232334345;IdTransportEinheitBestellt;int;NULL;YES;85
dbo;syncobj_0x4638463232334345;TransportEinheitBestelltBez;nvarchar;100;YES;86
dbo;syncobj_0x4638463232334345;IdHandelsEinheitBestellt;int;NULL;YES;87
dbo;syncobj_0x4638463232334345;HandelsEinheitBestelltBez;nvarchar;100;YES;88
dbo;syncobj_0x4638463232334345;BestellMengeTE;int;NULL;YES;89
dbo;syncobj_0x4638463232334345;BestellMengeHE;int;NULL;YES;90
dbo;syncobj_0x4638463232334345;TransportEinheitBestelltTyp;int;NULL;YES;94
dbo;syncobj_0x4638463232334345;HandelsEinheitBestelltTyp;int;NULL;YES;95
dbo;syncobj_0x4644423934423546;IdBestellung;int;NULL;NO;1
dbo;syncobj_0x4644423934423546;BestellDatum;datetime;NULL;NO;4
dbo;syncobj_0x4644423934423546;BestellMenge;float;NULL;NO;6
dbo;syncobj_0x4644423934423546;Bestellt;int;NULL;YES;19
dbo;syncobj_0x4644423934423546;IdRahmenBestellungPosition;int;NULL;YES;22
dbo;T_BestellMengenGrenzen;IdBestellMengenGrenzen;int;NULL;NO;1
dbo;T_BestellMengenGrenzen;IdLieferAdresse;int;NULL;YES;2
dbo;T_BestellMengenGrenzen;IdArtikelvarianten;int;NULL;YES;3
dbo;T_BestellMengenGrenzen;MinimumBestellMenge;float;NULL;YES;4
dbo;T_BestellMengenGrenzen;MaximumBestellMenge;float;NULL;YES;5
dbo;T_BestellMengenGrenzen;MinimumBestellMengeVPK;float;NULL;YES;6
dbo;T_BestellMengenGrenzen;MaximumBestellMengeVPK;float;NULL;YES;7
dbo;T_BestellMengenGrenzen;Add_User;nvarchar;50;YES;8
dbo;T_BestellMengenGrenzen;Add_Date;datetime;NULL;YES;9
dbo;T_BestellMengenGrenzen;Upd_User;nvarchar;50;YES;10
dbo;T_BestellMengenGrenzen;Upd_Date;datetime;NULL;YES;11
dbo;T_Bestellpositionen;IdBestellPosition;int;NULL;NO;1
dbo;T_Bestellpositionen;IdBestellung;int;NULL;YES;2
dbo;T_Bestellpositionen;IdLieferant;int;NULL;NO;3
dbo;T_Bestellpositionen;IdArtikelVarianten;int;NULL;NO;4
dbo;T_Bestellpositionen;BestellDatum;datetime;NULL;NO;5
dbo;T_Bestellpositionen;Lieferdatum;datetime;NULL;NO;6
dbo;T_Bestellpositionen;BestellMenge;float;NULL;NO;7
dbo;T_Bestellpositionen;BestellMengeVPK;float;NULL;NO;8
dbo;T_Bestellpositionen;Add_User;nvarchar;50;NO;9
dbo;T_Bestellpositionen;Add_Date;datetime;NULL;NO;10
