TableName;ApproxRowCount;CreatedDate;ColumnCount
---------;--------------;-----------;-----------
V_AuftragsPositionen;EdiImportPlausiKategorie;int;NULL;YES
V_AuftragsPositionen;EdiImportPlausi;int;NULL;YES
V_AuftragsPositionen;EdiPositionsMenge;float;NULL;YES
V_AuftragsPositionen;EdiPositionsMengeVPK;float;NULL;YES
V_AuftragsPositionen;EdiPositionsLiefertermin;datetime;NULL;YES
V_AuftragsSuche;EdiImportStatus;int;NULL;YES
V_Bestellungen;EDIStatus;int;NULL;NO
V_BestellungenEAIJournal;IdSpediteur;int;NULL;YES
V_BestellungenEAIJournal;SpediteurBez;nvarchar;100;YES
V_BlockingOrdersPositions;BlockedItemState;int;NULL;NO
V_BlockingOrdersPositionsBarcodes;BlockedItemState;int;NULL;NO
V_BlockingOrdersPositionsBarcodes;BlockedItemAction;int;NULL;NO
V_EAIJournalHeader;IdSpediteur;int;NULL;YES
V_EAIJournalHeader;SpediteurBez;nvarchar;100;YES
V_EDIDifferenzen;IdEDIDifferenz;int;NULL;NO
V_EDIDokumente;IdEDIDokument;int;NULL;NO
V_EDIDokumente;EDITyp;int;NULL;NO
V_EDIDokumente;EDIRichtung;int;NULL;NO
V_EDIDokumente;EDISchemaVersion;int;NULL;YES
V_EDIDokumentPositionen;IdEDIDokumentPosition;int;NULL;NO
V_EDIDokumentPositionen;IdEDIDokument;int;NULL;YES
V_EDIDokumentPositionen;EDITyp;int;NULL;YES
V_EDIDokumentPositionen;EDIRichtung;int;NULL;YES
V_EDIDokumentPositionen;EDIDokumenteValidation;nvarchar;1000;YES
V_EDIDokumentPositionen;EDISchemaVersion;int;NULL;YES
V_EDIDokumentPositionen_ORDER;IdEDIDokumentPosition;int;NULL;NO
V_EDIDokumentPositionen_ORDER;IdEDIDokument;int;NULL;YES
V_EDIDokumentPositionen_ORDER;EDITyp;int;NULL;YES
V_EDIDokumentPositionen_ORDER;EDIRichtung;int;NULL;YES
V_EDIDokumentPositionen_ORDER;EDIDokumenteValidation;nvarchar;1000;YES
V_EDIDokumentPositionen_ORDER;EDISchemaVersion;int;NULL;YES
V_EDIDokumentPositionen_ORDER;EdiImportStatus;int;NULL;NO
V_EDIDokumentPositionen_ORDER;EdiImportPlausiKategorie;int;NULL;NO
V_EDIDokumentPositionen_ORDER;EdiImportPlausi;int;NULL;NO
V_EDIDokumentPositionen_ORDER;EdiImportAkzeptanz;int;NULL;NO
V_EDIJournalUpload;IdSpediteur;int;NULL;YES
V_EDIJournalUpload;SpediteurBez;nvarchar;100;YES
V_EDIJournalUpload;IdEDIUpload;int;NULL;NO
V_EDIJournalUpload;IdEDIKonfiguration;int;NULL;NO
V_EDIJournalUpload;EDITyp;int;NULL;NO
V_EDIJournalUpload;EDIRichtung;int;NULL;NO
V_EDIKonfigurationen;IdEDIKonfiguration;int;NULL;NO
V_EDIKonfigurationen;EDITyp;int;NULL;NO
V_EDIKonfigurationen;EDIRichtung;int;NULL;NO
V_EDIKonfigurationen_BASIS;IdEDIKonfiguration;int;NULL;NO
V_EDIKonfigurationen_BASIS;EDITyp;int;NULL;NO
V_EDIKonfigurationen_BASIS;EDIRichtung;int;NULL;NO
V_EDIPositionDetails;IdEDIDokument;int;NULL;YES
V_EDIPositionDetails;IdEDIDokumentPosition;int;NULL;YES
V_EDIPositionDetails;IdEDIPositionDetail;int;NULL;NO
V_EDIPositionDetails;EDIDokumentPositionenValidation;nvarchar;1000;YES
V_EDIPositionDetails;EDITyp;int;NULL;YES
V_EDIPositionDetails;EDIRichtung;int;NULL;YES
V_EDIPositionDetails;EDIDokumenteValidation;nvarchar;1000;YES
V_EDIRouting;IdEDIKonfiguration;int;NULL;NO
V_EDIRouting;EDITyp;int;NULL;NO
V_EDIRouting;EDIRichtung;int;NULL;NO
V_EDIRouting_BASIS;IdEDIKonfiguration;int;NULL;NO
V_EDIRouting_BASIS;EDIKonfigurationenEDIRichtung;int;NULL;NO
V_EDIRouting_BASIS;EDIKonfigurationenEDITyp;int;NULL;NO
V_EDIRouting_BASIS;EDIKonfigurationenAutomatischeOperation;int;NULL;NO
V_EDIUpload;IdEDIUpload;int;NULL;NO
V_EDIUpload;IdEDIKonfiguration;int;NULL;NO
V_EDIUpload;EDITyp;int;NULL;NO
V_EDIUpload;EDIRichtung;int;NULL;NO
V_EntladeAuftraege;IdSpediteur;int;NULL;NO
V_EntladeAuftraege;SpediteurBez;nvarchar;100;NO
V_HistoryTransportKosten;IdSpediteuradresse;int;NULL;NO
V_HistoryTransportKosten;SpediteuradresseIdWaehrung;int;NULL;YES
V_HistoryTransportKosten;SpediteuradresseWaehrungBez;nvarchar;50;YES
V_HistoryTransportKosten;SpediteuradresseBez;nvarchar;100;YES
V_HistoryTransportKosten;SpediteuradresseAktiv;bit;NULL;YES
V_HistoryTransportkosten_BASIS;IdSpediteuradresse;int;NULL;NO
V_HistoryTransportkosten_BASIS;SpediteuradresseWaehrungBez;nvarchar;50;YES
V_HistoryTransportkosten_BASIS;SpediteuradresseWaehrungUmrechungskurs;float;NULL;YES
V_HistoryTransportkosten_BASIS;SpediteuradresseBez;nvarchar;100;YES
V_HistoryTransportkosten_BASIS;SpediteuradresseAktiv;bit;NULL;YES
V_KontenHistorie;EditMengeVPK;float;NULL;NO
V_KontenHistorie;EditMenge;float;NULL;NO
V_KontenHistorie;EditGesperrteMenge;float;NULL;YES
V_KontenHistorie;EditGesperrteMengeVPK;float;NULL;YES
V_KontenHistorieAktuell;EditMengeVPK;float;NULL;NO
V_KontenHistorieAktuell;EditMenge;float;NULL;NO
V_KontenHistorieAktuell;EditGesperrteMenge;float;NULL;YES
V_KontenHistorieAktuell;EditGesperrteMengeVPK;float;NULL;YES
V_KundenAbrufBestaetigungen;IdEDIDokumentPosition;int;NULL;YES
V_KundenAbrufe;IdEDIDokumentPosition;int;NULL;YES
V_KundenAbrufe;EdiImportStatus;int;NULL;YES
V_KundenAbrufe;EdiImportPlausiKategorie;int;NULL;YES
V_KundenAbrufe;EdiImportPlausi;int;NULL;YES
V_KundenAbrufe;EdiAbrufMenge;float;NULL;YES
V_KundenAbrufe;EdiAbrufMengeVPK;float;NULL;YES
V_KundenAbrufe;EdiAbrufLiefertermin;datetime;NULL;YES
V_KundenAbrufe;EdiImportAkzeptanz;int;NULL;YES
V_KundenAbrufe;EdiIdVpkVorschrift;int;NULL;YES
V_KundenAbrufe;EdiVpkVorschriftBez;nvarchar;100;NO
V_KundenBestandHistorie;IdEDIDokumentPosition;int;NULL;YES
V_LadeAuftraege;IdSpediteur;int;NULL;NO
V_LadeAuftraege;SpediteurBez;nvarchar;100;NO
V_LadePlanungenLadeAuftragAbruf;LadeAuftragIdSpediteur;int;NULL;NO
V_LadePlanungenLadeAuftragAbruf;LadeAuftragSpediteurBez;nvarchar;100;NO
V_LagerBestandsHistorie;EditMengeVPK;float;NULL;NO
V_LagerBestandsHistorie;EditMenge;float;NULL;NO
V_LagerBestandsHistorie;EditGesperrteMenge;float;NULL;YES
V_LagerBestandsHistorie;EditGesperrteMengeVPK;float;NULL;YES
V_LagerBestandsHistorieAktuell;EditMengeVPK;float;NULL;NO
V_LagerBestandsHistorieAktuell;EditMenge;float;NULL;NO
V_LagerBestandsHistorieAktuell;EditGesperrteMenge;float;NULL;YES
V_LagerBestandsHistorieAktuell;EditGesperrteMengeVPK;float;NULL;YES
V_LagerPlanungen;IdSpediteur;int;NULL;NO
V_LagerPlanungen;SpediteurBez;nvarchar;100;NO
V_LagerPlanungenAbrufe;IdSpediteur;int;NULL;NO
V_LagerPlanungenAbrufe;SpediteurBez;nvarchar;100;NO
V_Lieferscheine;IdSpediteur;int;NULL;NO
V_Lieferscheine;SpediteurBez;nvarchar;100;NO
V_MachineFetch;ProduzierteMengeEditierbar;int;NULL;YES
V_Maschine;ProduzierteMengeEditierbar;int;NULL;YES
V_Maschine_BASIS;ProduzierteMengeEditierbar;int;NULL;YES
V_Maschinen_EXTERNAL;ProduzierteMengeEditierbar;int;NULL;YES
V_NiceLabel_Automation;SSCC_ReserveDigit;int;NULL;YES
V_NiceLabel_Automation_v2;SSCC_ReserveDigit;int;NULL;YES
V_Ruecknahmen;IdSpediteur;int;NULL;NO
V_StaplerterminalListe_FORKLIFT;Spediteur;nvarchar;100;NO
V_StaplerterminalListe_FORKLIFT;IdSpediteur;int;NULL;NO
V_StaplerterminalListe_FORKLIFT;AnzahlErledigt;int;NULL;NO
